PlanKind	Version	Mode	PlanStatus	RowType	SessionID	SessionNumber	SessionTitle	CompetitionTitle	StageKind	GroupNumber	ExerciseNumber	StageID	Target	StageField:PerfomanceFramesLimit	Source	Details
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 TUM Male	Final1				"{""CompetitionID"": 54, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TUM Male"", ""raw"": ""Nat 7 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 TUM Male	Final1				"{""CompetitionID"": 50, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TUM Male"", ""raw"": ""Nat 5 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 TRP Male	Final1				"{""CompetitionID"": 11, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TRP Male"", ""raw"": ""Nat 7 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 TRP Female	Final1				"{""CompetitionID"": 10, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TRP Female"", ""raw"": ""Nat 7 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 DMT Male	Final1				"{""CompetitionID"": 25, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 DMT Male"", ""raw"": ""Nat 6 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 DMT Female	Final1				"{""CompetitionID"": 24, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 DMT Female"", ""raw"": ""Nat 6 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 TUM Female	Final1				"{""CompetitionID"": 49, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TUM Female"", ""raw"": ""Nat 5 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth SYN Male	Final1				"{""CompetitionID"": 80, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth SYN Male"", ""raw"": ""SYN Youth Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth SYN Female	Final1				"{""CompetitionID"": 79, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth SYN Female"", ""raw"": ""SYN Youth Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior SYN Mixed	Final1				"{""CompetitionID"": 78, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior SYN Mixed"", ""raw"": ""SYN Senior Mixed FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 TUM Female	Final1				"{""CompetitionID"": 59, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 TUM Female"", ""raw"": ""Youth U15 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 TUM Male	Final1				"{""CompetitionID"": 60, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 TUM Male"", ""raw"": ""Youth U15 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior SYN Male	Final1				"{""CompetitionID"": 71, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior SYN Male"", ""raw"": ""SYN Junior Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior SYN Female	Final1				"{""CompetitionID"": 72, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior SYN Female"", ""raw"": ""SYN Junior Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 TUM Female	Final1				"{""CompetitionID"": 57, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 TUM Female"", ""raw"": ""Youth U13 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 TUM Male	Final1				"{""CompetitionID"": 58, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 TUM Male"", ""raw"": ""Youth U13 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 TUM Female	Final1				"{""CompetitionID"": 44, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 TUM Female"", ""raw"": ""Junior U17 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 TUM Male	Final1				"{""CompetitionID"": 48, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 TUM Male"", ""raw"": ""Junior U17 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 TRP Male	Final1				"{""CompetitionID"": 15, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 TRP Male"", ""raw"": ""Youth U13 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 TRP Female	Final1				"{""CompetitionID"": 14, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 TRP Female"", ""raw"": ""Youth U13 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior SYN Male	Final1				"{""CompetitionID"": 77, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior SYN Male"", ""raw"": ""SYN Senior Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior SYN Female	Final1				"{""CompetitionID"": 76, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior SYN Female"", ""raw"": ""SYN Senior Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 DMT Male	Final1				"{""CompetitionID"": 31, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 DMT Male"", ""raw"": ""Youth U13 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U13 DMT Female	Final1				"{""CompetitionID"": 30, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U13 DMT Female"", ""raw"": ""Youth U13 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ TUM Female	Final1				"{""CompetitionID"": 47, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ TUM Female"", ""raw"": ""Junior 17+ TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ TUM Male	Final1				"{""CompetitionID"": 46, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ TUM Male"", ""raw"": ""Junior 17+ TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ TRP Male	Final1				"{""CompetitionID"": 2, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ TRP Male"", ""raw"": ""Junior 17+ TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior TRP Male	Final1				"{""CompetitionID"": 13, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior TRP Male"", ""raw"": ""Senior TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ TRP Female	Final1				"{""CompetitionID"": 3, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ TRP Female"", ""raw"": ""Junior 17+ TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior TRP Female	Final1				"{""CompetitionID"": 12, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior TRP Female"", ""raw"": ""Senior TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 DMT Female	Final1				"{""CompetitionID"": 32, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 DMT Female"", ""raw"": ""Youth U15 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 DMT Male	Final1				"{""CompetitionID"": 33, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 DMT Male"", ""raw"": ""Youth U15 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 DMT Female	Final1				"{""CompetitionID"": 19, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 DMT Female"", ""raw"": ""Junior U17 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 DMT Male	Final1				"{""CompetitionID"": 18, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 DMT Male"", ""raw"": ""Junior U17 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior TUM Female	Final1				"{""CompetitionID"": 55, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior TUM Female"", ""raw"": ""Senior TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior TUM Male	Final1				"{""CompetitionID"": 56, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior TUM Male"", ""raw"": ""Senior TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 TRP Male	Final1				"{""CompetitionID"": 17, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 TRP Male"", ""raw"": ""Youth U15 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 TRP Male	Final1				"{""CompetitionID"": 6, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 TRP Male"", ""raw"": ""Junior U17 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Youth U15 TRP Female	Final1				"{""CompetitionID"": 16, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Youth U15 TRP Female"", ""raw"": ""Youth U15 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior U17 TRP Female	Final1				"{""CompetitionID"": 4, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior U17 TRP Female"", ""raw"": ""Junior U17 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ DMT Female	Final1				"{""CompetitionID"": 21, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ DMT Female"", ""raw"": ""Junior 17+ DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Junior 17+ DMT Male	Final1				"{""CompetitionID"": 20, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Junior 17+ DMT Male"", ""raw"": ""Junior 17+ DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior DMT Female	Final1				"{""CompetitionID"": 27, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior DMT Female"", ""raw"": ""Senior DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				Senior DMT Male	Final1				"{""CompetitionID"": 29, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""Senior DMT Male"", ""raw"": ""Senior DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	ref	0	102	TRA 1	National 6 SYN Combined	Qualification	1	1		"{""GroupFrame"": 0, ""GroupID"": 74}"		"{""competitionTitle"": ""National 6 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 6 Combined Flight 1"", ""sessionID"": 0, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 1"", ""stageKind"": ""Qualification""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	0	102	TRA 1	National 6 SYN Combined	Qualification	2	1		"{""GroupFrame"": 0, ""GroupID"": 105}"		"{""competitionTitle"": ""National 6 SYN Combined"", ""groupNumber"": 2, ""raw"": ""SYN Nat 6 Combined Flight 2"", ""sessionID"": 0, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 1"", ""stageKind"": ""Qualification""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	0	102	TRA 1	National 6 SYN Combined	Final1	1	1		"{""CompetitionID"": 74, ""GroupFrame"": 0, ""GroupIndex"": 0, ""StageKind"": ""Final1""}"		"{""competitionTitle"": ""National 6 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 6 Combined FINAL"", ""sessionID"": 0, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 1"", ""stageKind"": ""Final1""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	1	102	TRA 2	National 5 SYN Combined	Qualification	1	1		"{""GroupFrame"": 0, ""GroupID"": 73}"		"{""competitionTitle"": ""National 5 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 5 Combined Flight 1"", ""sessionID"": 1, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 2"", ""stageKind"": ""Qualification""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	1	102	TRA 2	National 5 SYN Combined	Qualification	2	1		"{""GroupFrame"": 0, ""GroupID"": 104}"		"{""competitionTitle"": ""National 5 SYN Combined"", ""groupNumber"": 2, ""raw"": ""SYN Nat 5 Combined Flight 2"", ""sessionID"": 1, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 2"", ""stageKind"": ""Qualification""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	1	102	TRA 2	National 5 SYN Combined	Final1	1	1		"{""CompetitionID"": 73, ""GroupFrame"": 0, ""GroupIndex"": 0, ""StageKind"": ""Final1""}"		"{""competitionTitle"": ""National 5 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 5 Combined FINAL"", ""sessionID"": 1, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 2"", ""stageKind"": ""Final1""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	1	102	TRA 2	National 7 SYN Combined	Qualification	1	1		"{""GroupFrame"": 0, ""GroupID"": 75}"		"{""competitionTitle"": ""National 7 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 7 Combined Flight 1"", ""sessionID"": 1, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 2"", ""stageKind"": ""Qualification""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	1	102	TRA 2	National 7 SYN Combined	Final1	1	1		"{""CompetitionID"": 75, ""GroupFrame"": 0, ""GroupIndex"": 0, ""StageKind"": ""Final1""}"		"{""competitionTitle"": ""National 7 SYN Combined"", ""groupNumber"": 1, ""raw"": ""SYN Nat 7 Combined FINAL"", ""sessionID"": 1, ""sessionNumber"": 102, ""sessionTitle"": ""TRA 2"", ""stageKind"": ""Final1""}"	{}
ovs-session-refs-plan	2	apply	approved	ref	2	102	TUM	National 6 TUM Female	Qualification	1	1		"{""GroupFrame"": 0, ""GroupID"": 51}"		"{""competitionTitle"": ""National 6 TUM Female"", ""groupNumber"": 1, ""raw"": ""Nat 6 TUM Female Flight 1"", ""sessionID"": 2, ""sessionNumber"": 102, ""sessionTitle"": ""TUM"", ""stageKind"": ""Qualification""}"	{}
